Backend,Mode,Shards,Payload,OfferedRate,Completed,Backlog,MidpointBacklog,Seconds,InjectedLatencyMS,Throughput,AckP50US,AckP95US,AckP99US,CoordinationOpsPerRecord,CPUSeconds,AllocBytesPerRecord,AllocsPerRecord,HeapBytes
valkey,sync,1,1024,2314,11566,4,3,5,0,2313.2,292.959,367.708,480.875,1.010721,1.317953,3649.0894,35.47778,15098064
valkey,sync,1,1024,5785,28919,6,5,5,0,5783.8,126.458,164.208,372.333,1.010166,1.439503,2875.738165,25.3543,23019248
valkey,sync,1,16384,1157,5783,2,1,5,0,1156.6,444.25,718.292,1484.958,1.011067,1.277503,20302.067439,49.93308,10807808
valkey,sync,1,16384,2314,11566,4,3,5,0,2313.2,292.042,362.417,522.375,1.010721,1.132384,19017.896593,35.493688,19671104
valkey,sync,1,16384,5785,28917,8,6,5,0,5783.4,128.833,164.959,360.5,1.010167,1.516019,18196.243317,25.265657,16742416
valkey,sync,4,1024,1157,5783,2,2,5,0,1156.6,585.458,1098.709,2015.458,1.012277,1.721654,11233.756874,149.952966,16235208
valkey,sync,4,1024,1157,5780,5,3,5,1,1156,1555.292,1884.958,2836.75,1.013149,1.573158,10654.445675,140.26263,15660440
valkey,sync,4,1024,2314,11563,7,4,5,0,2312.6,510.458,937.083,1664.583,1.011502,2.510709,6865.796766,88.443224,16556904
valkey,sync,4,1024,2314,10988,582,255,5,1,2197.6,1714.875,2389.542,3731.292,1.012377,1.641003,3478.592647,26.737077,22735920
valkey,sync,4,1024,5785,28916,9,6,5,0,5783.2,295.5,467.584,1060.334,1.010928,2.17068,3780.787107,43.107345,22253056
valkey,sync,4,1024,5785,11022,17903,8916,5,1,2204.4,1725.083,2322.417,3657.334,1.012339,1.595558,3354.02867,24.18327,20740968
valkey,sync,4,16384,1157,5782,3,1,5,0,1156.4,553.583,972.625,1732.75,1.012798,1.644897,26604.650294,149.968004,23158760
valkey,sync,4,16384,2314,11565,5,2,5,0,2313,496.334,927.792,1903.25,1.011673,2.429779,22217.304626,88.118807,17970080
valkey,sync,4,16384,5785,28919,6,5,5,0,5783.8,264.792,434.167,878.208,1.010823,2.048056,19189.594661,43.888689,15942296
